Date,Childrens Book Store Followers,Childrens Book Store Mentions,Bookworm.com Followers,Bookworm.com Mentions
2013-10-13,0,0,0,0
2013-10-14,0,0,0,0
2013-10-15,0,0,0,0
2013-10-16,0,0,0,0
2013-10-17,0,0,0,0
2013-10-18,0,2,0,0
2013-10-19,0,0,0,0
2013-10-20,0,0,0,0
2013-10-21,0,0,0,1
2013-10-22,0,0,0,0
2013-10-23,0,0,0,0
2013-10-24,657,0,0,1
2013-10-25,659,4,0,0
2013-10-26,660,1,0,0
2013-10-27,660,0,0,0
2013-10-28,659,7,0,0
2013-10-29,659,4,72,0
2013-10-30,668,1,72,0
2013-10-31,669,0,72,0
2013-11-01,672,0,72,2
2013-11-02,671,0,72,0
2013-11-03,673,0,73,0
2013-11-04,673,0,73,1
2013-11-05,675,2,74,0
2013-11-06,676,0,75,2
2013-11-07,676,0,76,0
2013-11-08,677,1,76,0
2013-11-09,678,0,77,0
2013-11-10,682,1,77,0
2013-11-11,681,0,77,0
