Date,Tweets,Clicks,Mentions,New Followers,Retweets,Received Messages,Received DM,Sent DM,Unique Users,Followers,Following
2013-10-24,0,0,0,1,0,0,0,0,0,657,836
2013-10-25,15,9,4,3,3,5,1,0,3,659,836
2013-10-26,0,0,1,1,0,1,0,0,1,660,860
2013-10-27,0,0,0,1,0,0,0,0,0,660,860
2013-10-28,10,1,7,1,1,7,0,0,4,659,860
2013-10-29,6,9,4,7,2,4,0,0,4,659,867
2013-10-30,0,0,1,4,0,1,0,0,1,668,868
2013-10-31,0,0,0,2,0,0,0,0,0,669,869
2013-11-01,1,2,0,1,0,0,0,0,0,672,869
2013-11-02,0,0,0,2,0,0,0,0,0,671,869
2013-11-03,0,0,0,1,0,0,0,0,0,673,869
2013-11-04,3,2,0,2,0,0,0,0,0,673,869
2013-11-05,0,0,2,1,0,2,0,0,2,675,870
2013-11-06,1,0,0,1,1,0,0,0,0,676,869
2013-11-07,1,0,0,0,0,0,0,0,0,676,870
2013-11-08,0,0,1,1,0,1,0,0,1,677,871
2013-11-09,0,0,0,2,0,0,0,0,0,678,871
2013-11-10,0,0,1,2,0,1,0,0,1,682,871
2013-11-11,1,0,0,3,1,0,0,0,0,681,871
